gene	expr	reptime	hic
ALDH1B1	12.51495343	0.62	3
ALDH1L1	12.22109425	0.61	30
ALDH1L2	12.40739177	0.2	33
ALDH2	13.4462684	0.2	44
ALDH3A1	13.21903445	0.22	-13
ALDH3A2	13.20686444	0.33	-2
ALDH3B1	14.12121573	0.3	31
ALDH3B2	14.15775468	0.39	60
ALDH4A1	13.37327773	0.45	27
ALDH5A1	12.91810782	0.46	18
ALDH6A1	13.11359303	0.16	40
ALDH7A1	12.36832754	0.18	19
ALDH8A1	11.93768327	0.36	19
ALDH9A1	12.68178184	0.41	0
ALDOA	13.45383466	0.24	30.79
ALDOB	11.63467396	0.74	-22
ALDOC	14.31697833	0.19	31
ALG1	13.22184303	0.25	3
ALG10	10.06322261	0.84	-29
ALG10B	10.65329858	0.59	-38
ALG11	12.86345015	0.46	41
ALG12	13.55588324	0.21	6
ALG14	12.52551498	0.38	-9
ALG1L	12.26931501	0.55	19
ALG1L2	13.06745442	0.49	22.31
ALG2	12.22371608	0.21	37
ALG3	14.19407575	0.25	49
ALG5	12.08246329	0.64	16
ALG6	11.8023585	0.51	2
ALG8	13.21968971	0.18	23
ALG9	12.98877941	0.24	28
ALK	12.21700269	0.7	19
ALKBH1	13.02974796	0.38	47
ALKBH2	13.29676364	0.49	20
ALKBH3	12.98772737	0.66	6
ALKBH4	13.32293734	0.17	63
ALKBH5	13.73020318	0.19	23
ALKBH6	13.79595662	0.3	19
ALKBH7	13.75782742	0.41	31
ALKBH8	12.36666823	0.72	-2
ALLC	12.44023131	0.37	5
ALMS1	13.56384021	0.53	22
ALOX12B	14.23999498	0.27	26
ALOX15	14.01984064	0.32	25
ALOX15B	14.23999498	0.27	26
ALOX5	11.75815922	0.72	36
ALOX5AP	12.85231688	0.4	76
ALOXE3	14.19052608	0.24	31
ALPI	12.511209	0.2	32
ALPK1	12.13164539	0.38	42
ALPK2	12.2284895	0.27	67
ALPK3	12.76954385	0.21	28
ALPL	13.21400502	0.29	42
ALPP	12.63677006	0.29	37
ALS2	12.99043527	0.53	29
ALS2CL	12.60653526	0.47	41
ALS2CR12	13.22536211	0.39	31
ALX1	10.48893816	0.84	-34
ALX3	13.25615274	0.22	29
ALX4	12.61519107	0.6	9
AMACR	12.50901764	0.76	4
AMBP	12.40518167	0.56	6.91
AMBRA1	13.68823839	0.2	45
AMD1	12.68059107	0.32	31
AMDHD1	12.81113151	0.4	8
AMDHD2	14.55049618	0.31	49
AMER2	12.7103841	0.65	34
AMER3	13.31715354	0.37	17
AMFR	13.11851398	0.44	-9
AMH	14.28774358	0.2	27
AMHR2	14.35330834	0.14	56
AMIGO1	13.8701493	0.27	37
AMIGO2	11.91843724	0.38	-12
AMIGO3	13.50942957	0.27	22.23
AMMECR1L	13.28574843	0.19	39
AMN	13.53863653	0.29	50
AMN1	12.65692531	0.22	11
AMOTL1	12.71490629	0.4	-7
AMOTL2	12.62290292	0.18	21
AMPD1	13.30576768	0.3	11
AMPD2	13.80488733	0.19	29
AMPD3	13.56370644	0.32	27
AMPH	12.02622802	0.52	7
AMT	14.27630188	0.2	32
AMTN	12.4853205	0.82	27
AMY1A	12.53424763	0.85	9.8
AMY1C	10.10675487	0.88	-14
AMY2A	10.21115606	0.85	-20
AMZ1	13.55081558	0.26	30
AMZ2	13.54722319	0.24	11
ANAPC10	12.11564453	0.82	20
ANAPC11	15.15014156	0.21	19
ANAPC13	12.44518403	0.19	16
ANAPC15	13.48044753	0.27	62
ANAPC16	13.54714995	0.14	40
ANAPC2	14.35900393	0.2	36
ANAPC4	12.3608517	0.52	44
ANAPC5	13.77395913	0.23	39
ANAPC7	13.77939103	0.16	50
ANG	13.0240412	0.49	13.65
ANGEL1	12.6404491	0.47	39
ANGEL2	12.66313034	0.39	12
ANGPT1	10.82021819	0.57	-19
ANGPT4	13.62242568	0.56	36
ANGPTL1	12.62789465	0.43	3.11
ANGPTL2	13.3565611	0.35	27.11
ANGPTL3	12.42373113	0.39	11.76
ANGPTL4	13.49666525	0.21	0
ANGPTL5	12.9408391	0.51	-21
ANGPTL6	14.33154161	0.27	15
ANGPTL7	12.5863308	0.41	19.73
ANK1	13.2612693	0.51	36
ANK2	12.37718158	0.76	14
ANK3	12.27282434	0.5	-8
ANKAR	12.92026678	0.5	20
ANKDD1A	13.46705744	0.18	57
ANKDD1B	13.55640949	0.48	35.93
ANKEF1	12.17716378	0.44	-34
ANKFN1	12.12476497	0.48	-53
ANKFY1	13.61245023	0.34	26
ANKH	13.12887215	0.42	8
ANKHD1	12.93658333	0.22	20.76
ANKIB1	13.47074725	0.44	30
ANKK1	11.58651044	0.6	12
ANKLE1	13.67064431	0.2	38
ANKLE2	13.56592677	0.41	32
ANKMY1	13.02268889	0.41	21
ANKMY2	12.58435496	0.54	-13
ANKRA2	12.90672658	0.29	42
ANKRD1	11.55074135	0.33	4
ANKRD10	13.13512362	0.37	22
ANKRD11	14.04958772	0.29	40
ANKRD12	12.98154608	0.34	56
ANKRD13A	13.76494226	0.22	54
ANKRD13B	13.48606021	0.29	30
ANKRD13C	12.59734417	0.42	-1
ANKRD13D	14.12978393	0.16	44
ANKRD16	13.38452147	0.28	28
ANKRD17	12.48933999	0.71	19
ANKRD18A	12.65702656	0.72	13.46
ANKRD18B	12.35753025	0.16	10.47
ANKRD2	13.24423582	0.17	40
ANKRD20A1	12.59503647	0	14.77
ANKRD20A2	12.62831996	0	20.24
ANKRD20A4	12.68502868	0	24.82
ANKRD22	12.07496688	0.29	26
ANKRD23	13.62022169	0.33	46
ANKRD24	14.60155182	0.21	41
ANKRD26	12.87537017	0.43	24
ANKRD27	12.82035788	0.43	-38
ANKRD28	12.7537055	0.34	29
ANKRD29	12.71267034	0.15	67
ANKRD30A	10.8919501	0.83	-43
ANKRD30B	12.81589903	0.78	10.97
ANKRD30BL	13.33218623	0.78	21.85
ANKRD31	12.93774723	0.56	25.47
ANKRD33	13.25464699	0.37	22
ANKRD33B	12.68677734	0.27	22.55
ANKRD34A	11.79944064	0.17	-0.66
ANKRD34B	12.68042306	0.52	38
ANKRD34C	13.35369851	0.65	29.07
ANKRD35	12.98723135	0.17	27.46
ANKRD36	12.75206747	0.51	24.75
ANKRD36B	12.87607913	0.54	29
ANKRD36C	12.26901585	0.5	9.96
ANKRD37	12.06340825	0.42	20
ANKRD39	13.62022169	0.33	46
ANKRD40	14.2764747	0.2	18
ANKRD42	12.63820565	0.36	18
ANKRD44	13.52060647	0.41	27
